,Entity,Region,Year,unemployment_rate,homicide_rate
0,Brazil,Latin America & Caribbean,1991,6.366,18.357327
1,Brazil,Latin America & Caribbean,1992,6.42,16.656002
2,Brazil,Latin America & Caribbean,1993,6.03,17.680256
3,Brazil,Latin America & Caribbean,1994,6.47,18.543499
4,Brazil,Latin America & Caribbean,1995,7.09,20.793213
5,Brazil,Latin America & Caribbean,1996,8.03,23.424883
6,Brazil,Latin America & Caribbean,1997,9.0,24.0331
7,Brazil,Latin America & Caribbean,1998,10.15,24.526455
8,Brazil,Latin America & Caribbean,1999,11.13,24.73625
9,Brazil,Latin America & Caribbean,2000,10.53,25.79976
10,Brazil,Latin America & Caribbean,2001,10.65,26.90898
11,Brazil,Latin America & Caribbean,2002,10.64,27.543724
12,Brazil,Latin America & Caribbean,2003,11.17,27.960468
13,Brazil,Latin America & Caribbean,2004,10.07,26.19828
14,Brazil,Latin America & Caribbean,2005,10.55,25.478415
15,Brazil,Latin America & Caribbean,2006,9.69,26.037931
16,Brazil,Latin America & Caribbean,2007,9.28,25.018942
17,Brazil,Latin America & Caribbean,2008,8.27,26.020863
18,Brazil,Latin America & Caribbean,2009,9.42,26.455711
19,Brazil,Latin America & Caribbean,2010,8.034,26.630033
20,Brazil,Latin America & Caribbean,2011,7.58,26.355639
21,Brazil,Latin America & Caribbean,2012,7.25,28.197144
22,Brazil,Latin America & Caribbean,2013,7.07,28.179903
23,Brazil,Latin America & Caribbean,2014,6.76,29.358646
24,Brazil,Latin America & Caribbean,2015,8.56,28.356405
25,Brazil,Latin America & Caribbean,2016,11.74,29.589155
26,Brazil,Latin America & Caribbean,2017,12.93,30.593037
27,Brazil,Latin America & Caribbean,2018,12.46,26.636013
28,Brazil,Latin America & Caribbean,2019,12.05,20.810465
29,Brazil,Latin America & Caribbean,2020,13.93,22.384066
30,Brazil,Latin America & Caribbean,2021,0.0,0.0
31,Barbados,Latin America & Caribbean,1991,22.683,8.095543
32,Barbados,Latin America & Caribbean,1992,22.94,8.454628
33,Barbados,Latin America & Caribbean,1993,24.54,8.046116
34,Barbados,Latin America & Caribbean,1994,22.98,7.6420026
35,Barbados,Latin America & Caribbean,1995,19.66,6.481042
36,Barbados,Latin America & Caribbean,1996,0.0,0.0
37,Barbados,Latin America & Caribbean,1997,0.0,0.0
38,Barbados,Latin America & Caribbean,1998,12.4,7.586059
39,Barbados,Latin America & Caribbean,1999,10.61,8.706532
40,Barbados,Latin America & Caribbean,2000,9.35,7.556951
41,Barbados,Latin America & Caribbean,2001,9.85,9.420578
42,Barbados,Latin America & Caribbean,2002,10.32,9.382447
43,Barbados,Latin America & Caribbean,2003,11.0,12.336494
44,Barbados,Latin America & Caribbean,2004,9.57,8.193516
45,Barbados,Latin America & Caribbean,2005,9.08,10.761586
46,Barbados,Latin America & Caribbean,2006,8.73,12.942567
47,Barbados,Latin America & Caribbean,2007,7.41,9.210003
48,Barbados,Latin America & Caribbean,2008,8.12,8.4361725
49,Barbados,Latin America & Caribbean,2009,10.02,6.939587
50,Barbados,Latin America & Caribbean,2010,10.69,11.284586
51,Barbados,Latin America & Caribbean,2011,11.19,9.800843
52,Barbados,Latin America & Caribbean,2012,11.59,7.965315
53,Barbados,Latin America & Caribbean,2013,11.55,8.668485
54,Barbados,Latin America & Caribbean,2014,12.17,9.009236
55,Barbados,Latin America & Caribbean,2015,9.8,11.147751
56,Barbados,Latin America & Caribbean,2016,8.25,7.8952374
57,Barbados,Latin America & Caribbean,2017,8.62,10.745486
58,Barbados,Latin America & Caribbean,2018,8.32,10.011137
59,Barbados,Latin America & Caribbean,2019,8.41,17.131874
60,Barbados,Latin America & Caribbean,2020,10.105,14.606706
61,Barbados,Latin America & Caribbean,2021,9.582,11.379821
62,Canada,North America,1991,10.32,2.6913424
63,Canada,North America,1992,11.2,2.5857532
64,Canada,North America,1993,11.38,2.1836066
65,Canada,North America,1994,10.4,2.0565064
66,Canada,North America,1995,9.49,2.0041366
67,Canada,North America,1996,9.62,2.142337
68,Canada,North America,1997,9.1,1.9609975
69,Canada,North America,1998,8.28,1.8543822
70,Canada,North America,1999,7.58,1.7730393
71,Canada,North America,2000,6.83,1.7794689
72,Canada,North America,2001,7.22,1.7869376
73,Canada,North America,2002,7.66,1.8580953
74,Canada,North America,2003,7.57,1.736273
75,Canada,North America,2004,7.19,1.9585313
76,Canada,North America,2005,6.76,2.061093
77,Canada,North America,2006,6.32,1.8689367
78,Canada,North America,2007,6.04,1.8166627
79,Canada,North America,2008,6.14,1.8483654
80,Canada,North America,2009,8.34,1.815805
81,Canada,North America,2010,8.06,1.6400001
82,Canada,North America,2011,7.51,1.774293
83,Canada,North America,2012,7.29,1.582503
84,Canada,North America,2013,7.07,1.4516441
85,Canada,North America,2014,6.91,1.4828578
86,Canada,North America,2015,6.91,1.7099458
87,Canada,North America,2016,7.0,1.7057317
88,Canada,North America,2017,6.34,1.8192091
89,Canada,North America,2018,5.83,1.7874861
90,Canada,North America,2019,5.66,1.8362274
91,Canada,North America,2020,9.46,2.0032356
92,Canada,North America,2021,7.46,2.0652595
93,Colombia,Latin America & Caribbean,1991,10.12,85.42758
94,Colombia,Latin America & Caribbean,1992,9.44,83.043015
95,Colombia,Latin America & Caribbean,1993,7.8,82.16443
96,Colombia,Latin America & Caribbean,1994,8.25,76.72092
97,Colombia,Latin America & Caribbean,1995,8.72,62.054317
98,Colombia,Latin America & Caribbean,1996,11.81,63.741085
99,Colombia,Latin America & Caribbean,1997,12.14,62.211826
100,Colombia,Latin America & Caribbean,1998,15.0,60.849537
101,Colombia,Latin America & Caribbean,1999,20.06,63.12033
102,Colombia,Latin America & Caribbean,2000,20.52,67.6754
103,Colombia,Latin America & Caribbean,2001,15.04,69.88325
104,Colombia,Latin America & Caribbean,2002,15.63,70.170975
105,Colombia,Latin America & Caribbean,2003,14.19,57.29256
106,Colombia,Latin America & Caribbean,2004,13.72,48.525425
107,Colombia,Latin America & Caribbean,2005,11.87,42.895775
108,Colombia,Latin America & Caribbean,2006,10.963,40.86465
109,Colombia,Latin America & Caribbean,2007,10.25,39.712208
110,Colombia,Latin America & Caribbean,2008,10.52,36.836437
111,Colombia,Latin America & Caribbean,2009,11.32,35.693077
112,Colombia,Latin America & Caribbean,2010,10.98,34.494293
113,Colombia,Latin America & Caribbean,2011,10.11,35.59345
114,Colombia,Latin America & Caribbean,2012,9.74,35.90898
115,Colombia,Latin America & Caribbean,2013,9.05,33.35357
116,Colombia,Latin America & Caribbean,2014,8.57,28.585234
117,Colombia,Latin America & Caribbean,2015,8.3,27.128765
118,Colombia,Latin America & Caribbean,2016,8.69,26.040422
119,Colombia,Latin America & Caribbean,2017,8.87,25.434488
120,Colombia,Latin America & Caribbean,2018,9.11,26.231325
121,Colombia,Latin America & Caribbean,2019,9.96,25.753473
122,Colombia,Latin America & Caribbean,2020,15.04,24.242764
123,Colombia,Latin America & Caribbean,2021,13.9,27.484365
124,Costa Rica,Latin America & Caribbean,1991,5.37,4.0748105
125,Costa Rica,Latin America & Caribbean,1992,3.93,4.8164635
126,Costa Rica,Latin America & Caribbean,1993,3.95,4.6984587
127,Costa Rica,Latin America & Caribbean,1994,4.05,5.216167
128,Costa Rica,Latin America & Caribbean,1995,5.18,5.1499414
129,Costa Rica,Latin America & Caribbean,1996,6.16,5.1692533
130,Costa Rica,Latin America & Caribbean,1997,5.68,5.615842
